X,Y,Z,MaximumInscribedSphereRadius
21.6733169556,4.63279008865,39.4937591553,2.2631465093
21.6709823608,4.72927904129,39.4800643921,2.25708260068
21.6740722656,4.83063316345,39.4652709961,2.2512730569
21.6797294617,4.92906570435,39.4477806091,2.24700715128
21.6870193481,5.02797460556,39.4351463318,2.24327965155
21.6943130493,5.12687158585,39.4221992493,2.23823544248
21.7021026611,5.22553300858,39.4076194763,2.23456955547
21.7151374817,5.32400465012,39.3959083557,2.23210481522
21.7327251434,5.42159700394,39.3827705383,2.2306647282
21.7512130737,5.51884365082,39.3686485291,2.22831853643
21.7692699432,5.61645126343,39.3563232422,2.2237040085
21.7876663208,5.71371603012,39.3421440125,2.21968704912
21.8103694916,5.80957174301,39.3246192932,2.21633731645
21.8361110687,5.90440702438,39.3057441711,2.21385764319
21.8665027618,5.99744558334,39.285243988,2.21155958183
21.8968162537,6.0900015831,39.2625694275,2.20896770516
21.9233798981,6.18381357193,39.2401885986,2.20580092611
21.9529075623,6.27682828903,39.2183303833,2.20284565743
21.9829311371,6.36847782135,39.1918182373,2.19816343111
22.0162200928,6.45784807205,39.1616744995,2.19586126902
22.053068161,6.54671812057,39.1344032288,2.19468219365
22.0900993347,6.63556337357,39.1071434021,2.19415361297
22.1248588562,6.72363710403,39.074924469,2.19375168493
22.1626987457,6.81138849258,39.0453453064,2.19485381345
22.2013053894,6.89879083633,39.0157661438,2.19678953722
22.2378139496,6.98582077026,38.982673645,2.19806997697
22.2779541016,7.07209444046,38.9518051147,2.20001733255
22.31640625,7.15824508667,38.9186859131,2.20185373341
22.3556404114,7.24459028244,38.8867073059,2.20427178882
22.3952083588,7.32890510559,38.8504257202,2.20635156819
22.4386863708,7.41035079956,38.8120193481,2.20592414321
22.4838581085,7.49194192886,38.7757568359,2.20579744765
22.5310955048,7.57190704346,38.7387733459,2.20490998943
22.581193924,7.64785194397,38.6972808838,2.20359449034
22.631696701,7.72557401657,38.6596755981,2.20298240265
22.6828632355,7.79923343658,38.6153259277,2.20289749108
22.7330970764,7.87489128113,38.573638916,2.20301909197
22.7937793732,7.94248962402,38.5315055847,2.2023534384
22.8579082489,8.00364398956,38.484249115,2.20179512541
22.9200286865,8.06403160095,38.4344139099,2.20164678393
22.9844779968,8.12554740906,38.3889045715,2.20274893439
23.0524845123,8.18415641785,38.3447990417,2.20368489111
23.1178569794,8.24124622345,38.2951850891,2.20465027282
23.182094574,8.29890155792,38.2444763184,2.20561565453
23.2479724884,8.35864257812,38.1985054016,2.21338835361
23.3095474243,8.42432498932,38.1550178528,2.2224661715
23.3702907562,8.48664951324,38.1057243347,2.23307834946
23.4318752289,8.54911708832,38.057220459,2.24727043785
23.4949989319,8.61199474335,38.0114097595,2.26146252623
23.5615501404,8.67245388031,37.9676704407,2.27565461462
23.632598877,8.72808647156,37.924659729,2.28924773472
23.701877594,8.78120136261,37.8757705688,2.30195250445
23.770734787,8.83231830597,37.824005127,2.31465727418
23.8432502747,8.88083171844,37.7751693726,2.32729610481
23.9182415009,8.92709445953,37.7278366089,2.33993745797
23.992975235,8.97205924988,37.678855896,2.35271911674
24.0710773468,9.01650810242,37.6350326538,2.36443706582
24.1501712799,9.06050300598,37.5923690796,2.37607028128
24.2268409729,9.10479736328,37.545841217,2.38811785274
24.302614212,9.15022754669,37.4989471436,2.40094075054
24.3798294067,9.19167423248,37.4506149292,2.41375180878
24.4598350525,9.23294067383,37.4070701599,2.42803476268
24.537317276,9.27573108673,37.3604164124,2.44229955033
24.6164035797,9.31945323944,37.3176002502,2.45710495149
24.6954517365,9.36051368713,37.2720985413,2.47384598472
24.7728710175,9.40187168121,37.2240333557,2.49058701796
24.8472137451,9.44837760925,37.1759757996,2.50891545342
24.9250144958,9.4904756546,37.1292533875,2.52731977569
25.0028133392,9.53439998627,37.0842895508,2.54678822443
25.0798091888,9.57862091064,37.0380439758,2.5682865908
25.1582546234,9.6194858551,36.9912452698,2.59014060617
25.2397041321,9.65592384338,36.9461021423,2.61228740148
25.3197193146,9.69525814056,36.900718689,2.6349718981
25.3996658325,9.73641109467,36.8569107056,2.65752983647
25.4831447601,9.77470779419,36.8168296814,2.68125273673
25.5661010742,9.81099319458,36.774307251,2.70607864658
25.6394023895,9.85074424744,36.7193183899,2.73142710817
25.7117404938,9.88572216034,36.6598930359,2.75404477079
25.7844676971,9.91474819183,36.5974159241,2.77426264728
25.8553962708,9.94351673126,36.5326957703,2.79470714346
25.9352798462,9.96708393097,36.47813797,2.80910019957
26.0228347778,9.98260879517,36.4318656921,2.81770738031
26.1093540192,9.99384498596,36.3830032349,2.82572185677
26.1962146759,10.0040950775,36.3344421387,2.83385801727
26.2852878571,10.0157470703,36.2904319763,2.84060858816
26.3752479553,10.0326852798,36.2501602173,2.84323939309
26.4656677246,10.0468082428,36.2097854614,2.84543353219
26.5549430847,10.0629281998,36.1676635742,2.84764690287
26.643863678,10.0787982941,36.1247291565,2.84999879662
26.7343006134,10.0930347443,36.0844688416,2.85352488608
26.8251857758,10.1098995209,36.0461730957,2.85715222397
26.914768219,10.1279535294,36.0055160522,2.85997681688
27.0049266815,10.1420173645,35.9644584656,2.86331588573
27.0942668915,10.1584348679,35.9226722717,2.86624419802
27.1818847656,10.177283287,35.8782958984,2.86400832441
27.2686576843,10.1991109848,35.8336029053,2.8617500354
27.3565292358,10.2189102173,35.7901229858,2.86060524673
27.4439182281,10.2382898331,35.7454872131,2.85928857491
27.5309257507,10.2599439621,35.7011795044,2.85769646986
27.6190910339,10.2797288895,35.6582717896,2.85660523156
27.7082748413,10.2981863022,35.6168861389,2.85759711611
27.7956867218,10.3159694672,35.571685791,2.85746916751
27.8850135803,10.3322000504,35.5296058655,2.8574018464
27.9736843109,10.347743988,35.486038208,2.85733452528
28.0601921082,10.3627052307,35.4381141663,2.85884806911
28.1459999084,10.3755559921,35.3884010315,2.85508435524
28.2298336029,10.3878555298,35.3352890015,2.85008724455
28.3140945435,10.3958644867,35.2819480896,2.84514967586
28.3950366974,10.405043602,35.2239265442,2.83953202142
28.4767017365,10.4123125076,35.1667251587,2.83485398543
28.5607261658,10.4213409424,35.1130905151,2.83076828778
28.6422729492,10.4253282547,35.0552635193,2.8260100128
28.7239189148,10.4303588867,34.997379303,2.82113617924
28.8085193634,10.4455022812,34.9464187622,2.81523524328
28.8948249817,10.4615421295,34.8985023499,2.80918616728
28.9825458527,10.4771432877,34.8530502319,2.80471541909
29.0699672699,10.4921178818,34.8067970276,2.80079390354
29.1579036713,10.509604454,34.7624359131,2.79704613563
29.2462062836,10.5277271271,34.7191200256,2.791776228
29.3344421387,10.5470457077,34.6761131287,2.78734194685
29.4242115021,10.56665802,34.6366233826,2.78366125143
29.5124588013,10.5845327377,34.5930480957,2.77841499479
29.5985584259,10.6016149521,34.5450592041,2.77330839402
29.6856174469,10.6190366745,34.4990692139,2.76710640224
29.77202034,10.6343832016,34.4510383606,2.76092278071
29.8568134308,10.6530885696,34.4014015198,2.75488499397
29.9420337677,10.6706428528,34.3521652222,2.74828328801
30.0285301208,10.6875543594,34.3048629761,2.74259134714
30.1156902313,10.7040891647,34.2587738037,2.73593390076
30.1998252869,10.7201147079,34.2069969177,2.72795240045
30.2865829468,10.7377138138,34.1604194641,2.7230090833
30.3737697601,10.7523136139,34.1136703491,2.71743471217
30.4601078033,10.767701149,34.0656738281,2.71174850032
30.5464992523,10.7859487534,34.0187072754,2.70739106743
30.6332683563,10.8054218292,33.9729042053,2.70468239255
30.7204914093,10.8213310242,33.9265975952,2.70278565782
30.8085708618,10.8359823227,33.8815307617,2.70087955135
30.8961715698,10.8522424698,33.8360786438,2.69906412897
30.9835510254,10.8706254959,33.791015625,2.6994202987
31.0710678101,10.8885707855,33.7459335327,2.69994127732
31.1593475342,10.9035072327,33.7013320923,2.70049650899
31.2484436035,10.9161710739,33.6577033997,2.70028612177
31.3375263214,10.9320898056,33.6150627136,2.6994283586
31.4260959625,10.9484367371,33.5716629028,2.69834595891
31.5170001984,10.9634895325,33.5327339172,2.69599016053
31.6087970734,10.9759931564,33.4949645996,2.69363257293
31.7013721466,10.9888572693,33.4594078064,2.69035934922
31.7944335938,11.0002660751,33.4246101379,2.68570066113
31.8879756927,11.0120687485,33.3912696838,2.68170164271
31.9809970856,11.0275936127,33.3578491211,2.67845513732
32.0739555359,11.0432434082,33.3242835999,2.67689551837
32.1681137085,11.0572118759,33.2937011719,2.67535061201
32.2632980347,11.069065094,33.2653923035,2.67478738222
32.3572044373,11.0809144974,33.2330627441,2.67580912255
32.4505805969,11.0936870575,33.1994552612,2.67683086287
32.544467926,11.1080350876,33.1681404114,2.6803138516
32.6389160156,11.1233482361,33.1389694214,2.68537224164
32.7332305908,11.1381025314,33.1091003418,2.69215578845
32.8272857666,11.1515483856,33.0778274536,2.70057506187
32.9215164185,11.1637105942,33.046546936,2.70899433528
33.016242981,11.174990654,33.0164871216,2.71878135996
33.1110839844,11.1875886917,32.9873313904,2.7296439882
33.2058029175,11.2021369934,32.9586410522,2.74113083041
33.3004798889,11.2174930573,32.9302978516,2.75343807066
33.3950996399,11.2328414917,32.9016838074,2.76737777429
33.4897613525,11.247595787,32.8725242615,2.78034614679
33.5852661133,11.2601947784,32.84557724,2.79331451929
33.6822929382,11.2695789337,32.8233375549,2.80512856661
33.7789916992,11.2804965973,32.8000450134,2.81619974984
33.875617981,11.2893810272,32.7759361267,2.82739684728
33.9729919434,11.2932262421,32.7528991699,2.83974977919
34.0700416565,11.2992773056,32.7290916443,2.85201749164
34.1649436951,11.3147411346,32.7018814087,2.86179264748
34.2580337524,11.3315477371,32.6695098877,2.86784745657
34.3474502563,11.3546638489,32.6312713623,2.86837672974
34.4360198975,11.3830776215,32.5942687988,2.86841750572
34.5243530273,11.4128684998,32.5580329895,2.86981295559
34.6115341187,11.4450092316,32.5209693909,2.87100967534
34.6998596191,11.4761333466,32.4858398438,2.87121932137
34.7884750366,11.5069093704,32.4511604309,2.87295137296
34.8770217896,11.5383329391,32.4168205261,2.87475856822
34.965385437,11.572016716,32.3842391968,2.87688789567
35.0537414551,11.6083478928,32.3546524048,2.87748235128
35.1427879333,11.641907692,32.3238296509,2.87858489654
35.2310829163,11.6778469086,32.2935371399,2.87977852316
35.3184356689,11.7184810638,32.2665786743,2.88095928344
35.4050216675,11.7620201111,32.2417373657,2.88178041762
35.4902572632,11.8051614761,32.2122268677,2.88147103185
35.5771827698,11.8475465775,32.1866188049,2.88105463924
35.6638755798,11.8914384842,32.1626815796,2.88102495365
35.7491760254,11.937869072,32.1387252808,2.88193696241
35.8343200684,11.985575676,32.1168632507,2.88241851637
35.918888092,12.0339126587,32.0942115784,2.88126868456
36.002620697,12.0828046799,32.0696144104,2.87992630494
36.087146759,12.1317129135,32.0480804443,2.87970630076
36.1720657349,12.1805896759,32.0279045105,2.87970944096
36.25573349,12.2313871384,32.0073928833,2.87668602336
36.3396987915,12.2805309296,31.9842357635,2.87251163453
