X,Y,Z,MaximumInscribedSphereRadius
6.2560210228,2.80811619759,31.8319015503,2.17947409212
6.22523498535,2.90958571434,31.8318786621,2.18526088141
6.20307540894,3.00255727768,31.8368396759,2.18942388198
6.1778678894,3.09763550758,31.8397159576,2.19264327612
6.15293645859,3.19437122345,31.8453025818,2.19594484826
6.1313624382,3.29193329811,31.8509483337,2.19925169747
6.11238288879,3.3898601532,31.8587055206,2.20405576924
6.09021615982,3.48713922501,31.8669223785,2.21032522059
6.0648727417,3.58383131027,31.8701305389,2.21569491533
6.03670454025,3.67973947525,31.8741188049,2.21853499256
6.00051927567,3.77289700508,31.8785209656,2.2157589994
5.96061849594,3.86448693275,31.8836517334,2.21211847959
5.92380714417,3.95706534386,31.8933506012,2.21010155807
5.88590717316,4.04875516891,31.9061145782,2.20809344711
5.84547472,4.13924503326,31.9196681976,2.20612257859
5.8072977066,4.2308754921,31.932390213,2.20584581363
5.77129888535,4.32256889343,31.9496822357,2.20585894522
5.73381328583,4.41340684891,31.968421936,2.20524414764
5.69983148575,4.5055141449,31.9875202179,2.20328873444
5.66742229462,4.59665155411,32.0133705139,2.20132924536
5.63391208649,4.68756580353,32.0382270813,2.199409969
5.59840011597,4.77740716934,32.0641822815,2.19687580951
5.5629658699,4.86707544327,32.0909194946,2.19492422501
5.53029203415,4.95701360703,32.1200828552,2.19146997475
5.49158716202,5.04358959198,32.1517753601,2.18372104165
5.45110702515,5.12905359268,32.1842880249,2.17412878858
5.40982198715,5.21498918533,32.2145385742,2.16448629685
5.3678650856,5.29992723465,32.2466087341,2.15488154022
5.32918453217,5.38617515564,32.2793540955,2.1453584877
5.28506803513,5.47162389755,32.3069076538,2.13614804626
5.24482679367,5.55816936493,32.3367881775,2.12648989399
5.19940710068,5.64406919479,32.3605575562,2.1127862653
5.14855909348,5.72826242447,32.3788490295,2.09808792617
5.09683084488,5.81212615967,32.3959846497,2.08128902805
5.04349470139,5.89512681961,32.4126243591,2.06461422922
4.98890018463,5.97796010971,32.4252967834,2.04840867894
4.93504333496,6.06179285049,32.4340858459,2.0337083796
4.8802652359,6.14531469345,32.4393157959,2.02007918338
4.82463407516,6.22835206985,32.4421577454,2.00882997329
4.76967144012,6.31186914444,32.4411201477,1.99853224093
4.71422243118,6.39509963989,32.4399414062,1.98820577306
4.65572452545,6.47621870041,32.4379081726,1.97901264248
4.60223484039,6.56059455872,32.433177948,1.97187519901
4.54359865189,6.64114713669,32.4246025085,1.96716664908
4.48772001266,6.72346258163,32.4149131775,1.9639586998
4.44499969482,6.81198120117,32.3955879211,1.95553387467
4.40549182892,6.90017318726,32.3703346252,1.94650130973
4.37330770493,6.98984098434,32.339679718,1.93600043295
4.33995485306,7.07826948166,32.30519104,1.92810731852
4.28836631775,7.15732097626,32.273223877,1.92315404659
4.24126195908,7.23748445511,32.2365837097,1.91215208107
4.19815349579,7.31751060486,32.1944274902,1.90028447395
4.15645170212,7.39517116547,32.1472206116,1.88808343017
4.11546468735,7.47160291672,32.0973243713,1.87799775029
4.07888793945,7.5485959053,32.0450019836,1.86962675256
4.04325819016,7.62394428253,31.9896850586,1.86502095399
4.01226615906,7.6992149353,31.9316291809,1.86462024098
3.98524808884,7.77364969254,31.8703022003,1.86421952796
3.96059632301,7.84676027298,31.8061199188,1.86381881495
3.93670272827,7.91805744171,31.7394924164,1.86341810193
3.91195940971,7.98705244064,31.6708335876,1.86301738892
3.88475871086,8.05325603485,31.6005573273,1.8626166759
3.85320019722,8.11557483673,31.5288391113,1.86811933187
3.81475734711,8.17049884796,31.4547080994,1.8710672357
3.77420902252,8.22029685974,31.3778419495,1.87303150921
3.73940491676,8.27011966705,31.2984638214,1.88027895854
3.71140360832,8.3207321167,31.2167778015,1.88923044749
3.68781065941,8.37066459656,31.1329784393,1.89818193645
3.66620492935,8.41843223572,31.0472660065,1.90713342541
3.6441655159,8.46254825592,30.9598350525,1.91608491436
3.61927103996,8.50152873993,30.8708820343,1.92503640332
3.59028983116,8.53436088562,30.7805175781,1.93768492351
3.56201386452,8.56243991852,30.6884231567,1.95064772187
3.54113745689,8.58791732788,30.5941352844,1.96361052023
3.53094506264,8.61197662354,30.497549057,1.9740774582
3.51592111588,8.630443573,30.4004955292,1.98297186443
3.49184942245,8.64210987091,30.3036422729,1.99069692118
3.47222828865,8.6505651474,30.2058315277,1.99842197793
3.46863436699,8.65678310394,30.106256485,2.0006922113
3.47329926491,8.65545272827,30.0061206818,2.00050384638
3.47571253777,8.6499042511,29.9061412811,2.00265794664
3.47354865074,8.64119148254,29.806520462,2.00481204691
3.46650505066,8.63053035736,29.7072849274,2.01106035165
3.46001553535,8.62265491486,29.6077537537,2.01813594151
3.4591190815,8.62020206451,29.507484436,2.02942555963
3.46003699303,8.61389160156,29.4077453613,2.04071517775
3.45848035812,8.5944442749,29.309841156,2.04544751464
3.45873379707,8.56834697723,29.2129764557,2.05103789226
3.46469688416,8.5435590744,29.116104126,2.06003640813
3.47501349449,8.52154159546,29.018945694,2.069034924
3.48791766167,8.5032491684,28.9212856293,2.07803343986
3.50163435936,8.48949813843,28.8229293823,2.08828135809
3.5138220787,8.47003078461,28.7256832123,2.10156125711
3.52577137947,8.44224643707,28.6300296783,2.11540843255
3.54180455208,8.4172706604,28.534620285,2.129255608
